event_id,measure_token,measure,position,onset_seconds,end_seconds,tempo_bpm,meter,clip_type,assignment_key,slots,sample,note,channel_mode,sample_duration_seconds,present_in_macos_assets,present_in_flutter_assets
1,1,1,beat1,0.0,11.088471,102.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-01-soprano.mp3,,left,11.088471,True,True
1,1,1,beat1,0.0,11.088471,102.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-01-alto.mp3,,right,11.088471,True,True
1,1,1,beat1,0.0,11.088471,102.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-01-tenor-bass.mp3,,mono_sum,11.088471,True,True
2,2,2,beat1,2.352941,59.411765,102.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-02-soprano.mp3,,left,57.058824,True,True
2,2,2,beat1,2.352941,59.411765,102.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-02-alto.mp3,,right,57.058824,True,True
2,2,2,beat1,2.352941,59.411765,102.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-02-tenor-bass.mp3,,mono_sum,57.058824,True,True
3,25,25,beat4,58.235294,79.901961,102.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-03-soprano.mp3,,left,21.666667,True,True
3,25,25,beat4,58.235294,79.901961,102.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-03-alto.mp3,,right,21.666667,True,True
3,25,25,beat4,58.235294,79.901961,102.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-03-tenor-bass.mp3,,mono_sum,21.666667,True,True
4,33,33,beat2,78.235294,86.568628,72.0,3/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-04-soprano.mp3,,left,8.333334,True,True
4,33,33,beat2,78.235294,86.568628,72.0,3/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-04-alto.mp3,,right,8.333334,True,True
4,33,33,beat2,78.235294,86.568628,72.0,3/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-04-tenor-bass.mp3,,mono_sum,8.333334,True,True
5,36,36,beat1,84.901961,99.901961,72.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-05-soprano.mp3,,left,15.0,True,True
5,36,36,beat1,84.901961,99.901961,72.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-05-alto.mp3,,right,15.0,True,True
5,36,36,beat1,84.901961,99.901961,72.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-05-tenor-bass.mp3,,mono_sum,15.0,True,True
8,38.3,38,beat1,98.235294,106.568628,72.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-08-soprano.mp3,,left,8.333334,True,True
8,38.3,38,beat1,98.235294,106.568628,72.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-08-alto.mp3,,right,8.333334,True,True
8,38.3,38,beat1,98.235294,106.568628,72.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-08-tenor-bass.mp3,,mono_sum,8.333334,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,soprano_l1,,available-sounds/electronics-trigger-clips/part-specific/soprano-l1/electronics-trigger-08-soprano-l1-musique-concrete.mp3,Sop-L1 receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,soprano_l2,,available-sounds/electronics-trigger-clips/part-specific/soprano-l2/electronics-trigger-08-soprano-l2-musique-concrete.mp3,Sop-L2 receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,tenor_l,,available-sounds/electronics-trigger-clips/part-specific/tenor-l/electronics-trigger-08-tenor-l-musique-concrete.mp3,Ten-L receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,bass_l,,available-sounds/electronics-trigger-clips/part-specific/bass-l/electronics-trigger-08-bass-l-musique-concrete.mp3,Bass-L receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,alto_l2,,available-sounds/electronics-trigger-clips/part-specific/alto-l2/electronics-trigger-08-alto-l2-musique-concrete.mp3,Alto-L2 receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
8,38.3,38,beat1,98.235294,101.568627,72.0,4/4,electronics_part,alto_l1,,available-sounds/electronics-trigger-clips/part-specific/alto-l1/electronics-trigger-08-alto-l1-musique-concrete.mp3,Alto-L1 receives its own musique-concrete strand at Trigger 8. The strand blooms in over the first two beats and is fully faded out by M38.4 beat 1.,part_track,3.333333,True,True
11,104,104,beat1,104.901961,141.568628,72.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-11-soprano.mp3,,left,36.666667000000004,True,True
11,104,104,beat1,104.901961,141.568628,72.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-11-alto.mp3,,right,36.666667000000004,True,True
11,104,104,beat1,104.901961,141.568628,72.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-11-tenor-bass.mp3,,mono_sum,36.666667000000004,True,True
12,115,115,beat1,139.901961,246.421566,72.0,4/4,electronics,soprano,,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-12-soprano.mp3,,left,106.519605,True,True
12,115,115,beat1,139.901961,246.421566,72.0,4/4,electronics,alto,,available-sounds/electronics-trigger-clips/alto/electronics-trigger-12-alto.mp3,,right,106.519605,True,True
12,115,115,beat1,139.901961,246.421566,72.0,4/4,electronics,tenor_bass,,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-12-tenor-bass.mp3,,mono_sum,106.519605,True,True
